itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
qqrapun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
baluk,1,baluk,1,,名詞,,False
psbegu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rheqi,1,rehaq 1,12,受事焦點,,,False
mmaku,4,mmaku,4,,名詞,修改中文/英文,False
rmabang,14,rabang,26,主事焦點,,,False
name,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pukuh,6,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
trigi,1,taruy,9,受事焦點,,,False
qlmiqu,1,lmiqu,100,零焦點標記,,,False
pspreqan,1,peruq,21,處所焦點,,,False
knkanah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ga,1995,gaga,2280,,多重詞性,ga; waga,True
diden,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sbrnexi,1,breenux,16,受事焦點,,,False
prnuun,4,pneeru,17,受事焦點,,,False
knhuwe,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnahu,1,pahu,34,受事焦點,,,False
seeru,3,eru,23,主事焦點,,,False
inkorencyun,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kingan,144,kingal,413,,其它,kingan,True
pduli,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ttukun,1,tatuk,3,受事焦點,,,False
mahnui,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
